treat,age,education,black ,hispanic,married,nodegree,re74,re75,re78
0.00E+00,2.30E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.60E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.24E+04
0.00E+00,2.20E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,1.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.07E+04
0.00E+00,4.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.18E+04
0.00E+00,1.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,9.23E+03
0.00E+00,2.40E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.06E+04
0.00E+00,3.40E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,6.04E+03
0.00E+00,2.40E+01,4.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,3.88E+03
0.00E+00,3.60E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.10E+01,1.40E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E+03
0.00E+00,2.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.70E+01,7.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,1.90E+01,1.10E+01,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.00E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.40E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.11E+03
0.00E+00,2.40E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,7.62E+03
0.00E+00,2.20E+01,8.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,9.92E+03
0.00E+00,2.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,4.20E+03
0.00E+00,3.90E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,1.90E+01,9.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,1.67E+04
0.00E+00,4.40E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,9.72E+03
0.00E+00,2.70E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,3.78E+03
0.00E+00,2.50E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,3.52E+03
0.00E+00,3.10E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.70E+04
0.00E+00,3.40E+01,1.00E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.10E+01,7.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.30E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.97E+03
0.00E+00,1.80E+01,1.00E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.86E+03
0.00E+00,2.60E+01,1.20E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,6.19E+03
0.00E+00,3.10E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.28E+03
0.00E+00,3.50E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,4.46E+02
0.00E+00,2.00E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,7.37E+03
0.00E+00,3.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.00E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.02E+03
0.00E+00,2.50E+01,9.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.58E+04
0.00E+00,2.70E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.14E+03
0.00E+00,2.00E+01,1.10E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,6.38E+03
0.00E+00,2.60E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,7.18E+03
0.00E+00,3.80E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.40E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,7.95E+03
0.00E+00,1.90E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.20E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,7.15E+03
0.00E+00,2.00E+01,9.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,8.33E+03
0.00E+00,2.30E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.80E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.24E+04
0.00E+00,2.40E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.30E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,5.09E+03
0.00E+00,2.00E+01,7.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,4.37E+03
0.00E+00,2.10E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.55E+03
0.00E+00,2.50E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.20E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,1.70E+03
0.00E+00,2.30E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.40E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.13E+04
0.00E+00,2.90E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.40E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.46E+04
0.00E+00,2.20E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.29E+04
0.00E+00,2.80E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,5.77E+03
0.00E+00,1.80E+01,1.00E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,6.53E+03
0.00E+00,2.60E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,3.93E+03
0.00E+00,2.50E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.09E+04
0.00E+00,2.40E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.60E+01,5.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.60E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.47E+04
0.00E+00,2.20E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.42E+03
0.00E+00,2.70E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.12E+04
0.00E+00,2.90E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.40E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.20E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.40E+01,7.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.46E+03
0.00E+00,2.90E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.89E+03
0.00E+00,2.50E+01,1.10E+01,0.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,4.49E+03
0.00E+00,3.00E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.36E+04
0.00E+00,2.20E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.39E+03
0.00E+00,5.50E+01,3.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,5.84E+03
0.00E+00,2.00E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,8.60E+03
0.00E+00,3.40E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.92E+03
0.00E+00,2.20E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.20E+01,1.20E+01,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,6.74E+03
0.00E+00,3.10E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,1.80E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,5.00E+01,1.00E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,4.48E+01
0.00E+00,2.30E+01,1.00E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.80E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.00E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,3.70E+03
0.00E+00,4.20E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,6.93E+03
0.00E+00,3.90E+01,1.20E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,3.80E+03
0.00E+00,3.40E+01,1.30E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,5.19E+03
0.00E+00,2.40E+01,7.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.19E+03
0.00E+00,3.20E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.11E+04
0.00E+00,2.70E+01,1.30E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.61E+03
0.00E+00,2.60E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.17E+03
0.00E+00,4.40E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.26E+03
0.00E+00,2.50E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.80E+01,1.20E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.20E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.20E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,1.90E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,5.71E+03
0.00E+00,3.10E+01,1.00E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.30E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,3.30E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.70E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.18E+03
0.00E+00,2.90E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,1.02E+04
0.00E+00,2.30E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,9.00E+00,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,4.72E+03
0.00E+00,2.50E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,2.90E+02
0.00E+00,2.40E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.80E+01,8.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,8.19E+03
0.00E+00,2.60E+01,6.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,4.81E+03
0.00E+00,3.00E+01,1.40E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,7.34E+03
0.00E+00,2.50E+01,1.00E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.90E+01,1.10E+01,1.00E+00,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.50E+01,1.20E+01,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.80E+01,1.30E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.30E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,4.35E+03
0.00E+00,5.40E+01,1.10E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,7.81E+03
0.00E+00,3.30E+01,5.00E+00,0.00E+00,1.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.00E+01,8.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,3.64E+03
0.00E+00,4.50E+01,9.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,4.84E+03
0.00E+00,3.90E+01,6.00E+00,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.60E+01,1.20E+01,1.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.30E+01,1.00E+01,1.00E+00,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
0.00E+00,2.70E+01,1.20E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.48E+04
0.00E+00,3.30E+01,9.00E+00,0.00E+00,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00,0.00E+00
