treat,age,black,hispanic,married,nodegree,re75,re78,education*,u75,educ_re75,hisp_u75,black_u75,married_u75,nodegree_re75,nodegree_u75,nodegree_education,black_age,black_education,hisp_re75,agesq,educsq,ageboxcox,lnre78,lnre75,education_4,education_5,education_6,education_7,education_8,education_9,education_10,education_11,education_12,education_13,education_14,education_15,education_16
1,37,1,0,1,1,0,9930,11,1,0,0,1,1,0,1,11,37,11,0,1369,121,0.771270555358959,9.203315757039219,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,0,1,0,1,0,3595,9,1,0,1,0,0,0,1,9,0,0,1,484,81,0.7641038566896158,8.187299270155147,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,30,1,0,0,0,0,24909,12,1,0,0,1,0,0,0,0,30,12,0,900,144,0.7689378349730367,10.122984462930141,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,1,0,0,1,0,7506,11,1,0,0,1,0,0,1,11,27,11,0,729,121,0.7675064085921748,8.923457979694966,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,33,1,0,0,1,0,289,8,1,0,0,1,0,0,1,8,33,8,0,1089,64,0.7700760388896652,5.666426688112432,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,22,1,0,0,1,0,4056,9,1,0,0,1,0,0,1,9,22,9,0,484,81,0.7641038566896158,8.30795254527102,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,1,0,0,0,0,0,12,1,0,0,1,0,0,0,0,23,12,0,529,144,0.7649202325815845,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,32,1,0,0,1,0,8472,11,1,0,0,1,0,0,1,11,32,11,0,1024,121,0.7697236723994276,9.044521887281242,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,1,0,0,0,0,2164,16,1,0,0,1,0,0,0,0,22,16,0,484,256,0.7641038566896158,7.679713639966372,-inf,0,0,0,0,0,0,0,0,0,0,0,0,1
1,33,0,0,1,0,0,12418,12,1,0,0,0,1,0,0,0,0,0,0,1089,144,0.7700760388896652,9.426902311924838,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,19,1,0,0,1,0,8173,9,1,0,0,1,0,0,1,9,19,9,0,361,81,0.7610559845010243,9.00859131751613,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,21,1,0,0,0,0,17094,13,1,0,0,1,0,0,0,0,21,13,0,441,169,0.7631981010781591,9.746482803725963,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,18,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,18,8,0,324,64,0.7597790079157395,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,27,1,0,1,1,0,18739,10,1,0,0,1,1,0,1,10,27,10,0,729,100,0.7675064085921748,9.838362192575666,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,17,1,0,0,1,0,3023,7,1,0,0,1,0,0,1,7,17,7,0,289,49,0.7583290653802051,8.014004994779459,-inf,0,0,0,1,0,0,0,0,0,0,0,0,0
1,19,1,0,0,1,0,3228,10,1,0,0,1,0,0,1,10,19,10,0,361,100,0.7610559845010243,8.07961802938984,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,27,1,0,0,0,0,14581,13,1,0,0,1,0,0,0,0,27,13,0,729,169,0.7675064085921748,9.587474590316285,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,23,1,0,0,1,0,7693,10,1,0,0,1,0,0,1,10,23,10,0,529,100,0.7649202325815845,8.948066103458935,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,40,1,0,0,0,0,10804,12,1,0,0,1,0,0,0,0,40,12,0,1600,144,0.771989609780023,9.287671714912506,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,26,1,0,0,0,0,10747,12,1,0,0,1,0,0,0,0,26,12,0,676,144,0.7669447053037863,9.282381924841154,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,23,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,23,11,0,529,121,0.7649202325815845,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,41,0,0,0,0,0,5149,14,1,0,0,0,0,0,0,0,0,0,0,1681,196,0.7722027491359185,8.546557800046141,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0
1,38,0,0,0,1,0,6408,9,1,0,0,0,0,0,1,9,0,0,0,1444,81,0.7715246626395021,8.765302488748196,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,24,1,0,0,1,0,1991,11,1,0,0,1,0,0,1,11,24,11,0,576,121,0.7656593846532138,7.596392304064196,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,33,1,0,0,1,7867,6281,11,0,86537,0,0,0,7867,0,11,33,11,0,1089,121,0.7700760388896652,8.74528448245438,8.970432074329242,0,0,0,0,0,0,0,1,0,0,0,0,0
1,18,1,0,0,1,0,11163,10,1,0,0,1,0,0,1,10,18,10,0,324,100,0.7597790079157395,9.320360017014732,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,29,1,0,1,1,0,9642,11,1,0,0,1,1,0,1,11,29,11,0,841,121,0.7684982022903364,9.173883834965567,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,25,1,0,0,1,0,9897,11,1,0,0,1,0,0,1,11,25,11,0,625,121,0.7663313979847909,9.199986959896691,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,27,0,1,0,1,0,11142,10,1,0,1,0,0,0,1,10,0,0,1,729,100,0.7675064085921748,9.31847703058076,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,17,1,0,0,1,0,16218,10,1,0,0,1,0,0,1,10,17,10,0,289,100,0.7583290653802051,9.693877015504503,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,24,1,0,0,1,0,995,11,1,0,0,1,0,0,1,11,24,11,0,576,121,0.7656593846532138,6.902742737158593,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,17,1,0,0,1,0,0,10,1,0,0,1,0,0,1,10,17,10,0,289,100,0.7583290653802051,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,26,1,0,1,1,2754,26372,11,0,30294,0,0,0,2754,0,11,26,11,0,676,121,0.7669447053037863,10.18005812023319,7.9208096792886,0,0,0,0,0,0,0,1,0,0,0,0,0
1,48,1,0,0,1,0,6551,4,1,0,0,1,0,0,1,4,48,4,0,2304,16,0.7734150801993808,8.787372988731876,-inf,1,0,0,0,0,0,0,0,0,0,0,0,0
1,25,1,0,1,1,0,1574,11,1,0,0,1,1,0,1,11,25,11,0,625,121,0.7663313979847909,7.3613754289773485,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,20,1,0,0,0,0,0,12,1,0,0,1,0,0,0,0,20,12,0,400,144,0.7621881881912876,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,25,1,0,0,0,0,3191,12,1,0,0,1,0,0,0,0,25,12,0,625,144,0.7663313979847909,8.068089626278244,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,42,1,0,0,0,0,20505,14,1,0,0,1,0,0,0,0,42,14,0,1764,196,0.7724043373709714,9.92842403782616,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0
1,25,1,0,0,1,0,6181,5,1,0,0,1,0,0,1,5,25,5,0,625,25,0.7663313979847909,8.729235349659273,-inf,0,1,0,0,0,0,0,0,0,0,0,0,0
1,23,1,0,1,0,0,5911,12,1,0,0,1,1,0,0,0,23,12,0,529,144,0.7649202325815845,8.684570300824369,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,46,1,0,1,1,0,3094,8,1,0,0,1,1,0,1,8,46,8,0,2116,64,0.7731115423774593,8.037220031133012,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,24,1,0,0,1,0,0,10,1,0,0,1,0,0,1,10,24,10,0,576,100,0.7656593846532138,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,21,1,0,0,0,0,1254,12,1,0,0,1,0,0,0,0,21,12,0,441,144,0.7631981010781591,7.134093721192866,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,19,0,0,0,1,0,13188,9,1,0,0,0,0,0,1,9,0,0,0,361,81,0.7610559845010243,9.487062604191621,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,17,1,0,0,1,0,8061,8,1,0,0,1,0,0,1,8,17,8,0,289,64,0.7583290653802051,8.9947928972836,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,18,0,1,1,1,0,2787,8,1,0,1,0,1,0,1,8,0,0,1,324,64,0.7597790079157395,7.932721027481948,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,20,1,0,0,1,0,3972,11,1,0,0,1,0,0,1,11,20,11,0,400,121,0.7621881881912876,8.287025025165063,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,25,1,0,1,1,0,0,11,1,0,0,1,1,0,1,11,25,11,0,625,121,0.7663313979847909,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,17,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,17,8,0,289,64,0.7583290653802051,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,17,1,0,0,1,0,0,9,1,0,0,1,0,0,1,9,17,9,0,289,81,0.7583290653802051,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,25,1,0,0,1,0,12187,5,1,0,0,1,0,0,1,5,25,5,0,625,25,0.7663313979847909,9.408125088823502,-inf,0,1,0,0,0,0,0,0,0,0,0,0,0
1,23,1,0,0,0,0,4843,12,1,0,0,1,0,0,0,0,23,12,0,529,144,0.7649202325815845,8.48528964240323,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,28,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,28,8,0,784,64,0.7680225288978041,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,31,1,0,1,1,0,8087,11,1,0,0,1,1,0,1,11,31,11,0,961,121,0.7693452271015038,8.998013113095823,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,18,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,18,11,0,324,121,0.7597790079157395,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,25,1,0,0,0,0,2348,12,1,0,0,1,0,0,0,0,25,12,0,625,144,0.7663313979847909,7.761319180947987,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,30,1,0,1,1,0,590,11,1,0,0,1,1,0,1,11,30,11,0,900,121,0.7689378349730367,6.380122536899765,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,17,1,0,0,1,0,0,10,1,0,0,1,0,0,1,10,17,10,0,289,100,0.7583290653802051,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,37,1,0,0,1,0,1067,9,1,0,0,1,0,0,1,9,37,9,0,1369,81,0.771270555358959,6.9726062513017535,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,41,1,0,1,1,0,7284,4,1,0,0,1,1,0,1,4,41,4,0,1681,16,0.7722027491359185,8.8934354408475,-inf,1,0,0,0,0,0,0,0,0,0,0,0,0
1,42,1,0,1,0,0,13167,14,1,0,0,1,1,0,0,0,42,14,0,1764,196,0.7724043373709714,9.485468978356344,-inf,0,0,0,0,0,0,0,0,0,0,1,0,0
1,22,0,0,0,1,0,1048,11,1,0,0,0,0,0,1,11,0,0,0,484,121,0.7641038566896158,6.954638864880987,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,17,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,17,8,0,289,64,0.7583290653802051,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,29,1,0,0,1,0,1923,8,1,0,0,1,0,0,1,8,29,8,0,841,64,0.7684982022903364,7.56164174558878,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,28,1,0,0,1,2836,3196,10,0,28360,0,0,0,2836,0,10,28,10,0,784,100,0.7680225288978041,8.069655306886165,7.950149887652018,0,0,0,0,0,0,1,0,0,0,0,0,0
1,35,1,0,0,1,0,4666,10,1,0,0,1,0,0,1,10,35,10,0,1225,100,0.7707122625040681,8.448057452581375,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,27,1,0,0,1,0,549,11,1,0,0,1,0,0,1,11,27,11,0,729,121,0.7675064085921748,6.3080984415095305,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,29,1,0,0,1,0,762,4,1,0,0,1,0,0,1,4,29,4,0,841,16,0.7684982022903364,6.635946555686647,-inf,1,0,0,0,0,0,0,0,0,0,0,0,0
1,28,1,0,0,1,0,10694,9,1,0,0,1,0,0,1,9,28,9,0,784,81,0.7680225288978041,9.277438115508676,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,27,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,27,11,0,729,121,0.7675064085921748,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,23,0,0,0,1,0,0,7,1,0,0,0,0,0,1,7,0,0,0,529,49,0.7649202325815845,-inf,-inf,0,0,0,1,0,0,0,0,0,0,0,0,0
1,45,1,0,1,1,0,8546,5,1,0,0,1,1,0,1,5,45,5,0,2025,25,0.7729481710043233,9.05321861620397,-inf,0,1,0,0,0,0,0,0,0,0,0,0,0
1,29,1,0,0,0,0,7479,13,1,0,0,1,0,0,0,0,29,13,0,841,169,0.7684982022903364,8.919854372191667,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,27,1,0,0,1,0,0,9,1,0,0,1,0,0,1,9,27,9,0,729,81,0.7675064085921748,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,46,1,0,0,0,0,647,13,1,0,0,1,0,0,0,0,46,13,0,2116,169,0.7731115423774593,6.472346294500901,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,18,1,0,0,1,0,0,6,1,0,0,1,0,0,1,6,18,6,0,324,36,0.7597790079157395,-inf,-inf,0,0,1,0,0,0,0,0,0,0,0,0,0
1,25,1,0,0,0,0,11965,12,1,0,0,1,0,0,0,0,25,12,0,625,144,0.7663313979847909,9.389741000342473,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,28,1,0,0,0,0,9598,15,1,0,0,1,0,0,0,0,28,15,0,784,225,0.7680225288978041,9.169310022418191,-inf,0,0,0,0,0,0,0,0,0,0,0,1,0
1,31,1,0,0,1,1698,10363,9,0,15282,0,0,0,1698,0,9,31,9,0,961,81,0.7693452271015038,9.245997049184217,7.437206366871292,0,0,0,0,0,1,0,0,0,0,0,0,0
1,25,0,0,0,1,0,18783,11,1,0,0,0,0,0,1,11,0,0,0,625,121,0.7663313979847909,9.84070748441342,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,1,0,0,0,0,18678,12,1,0,0,1,0,0,0,0,22,12,0,484,144,0.7641038566896158,9.835101639669663,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,28,1,0,0,1,1284,60307,11,0,14124,0,0,0,1284,0,11,28,11,0,784,121,0.7680225288978041,11.00720346221328,7.157735484249907,0,0,0,0,0,0,0,1,0,0,0,0,0
1,21,1,0,0,1,0,0,9,1,0,0,1,0,0,1,9,21,9,0,441,81,0.7631981010781591,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,40,1,0,0,1,0,23005,11,1,0,0,1,0,0,1,11,40,11,0,1600,121,0.771989609780023,10.043466862589568,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,22,1,0,0,1,0,6456,11,1,0,0,1,0,0,1,11,22,11,0,484,121,0.7641038566896158,8.772765209949785,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,25,1,0,0,0,0,0,12,1,0,0,1,0,0,0,0,25,12,0,625,144,0.7663313979847909,-inf,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,1,0,1,1,934,1773,9,0,8406,0,0,0,934,0,9,27,9,0,729,81,0.7675064085921748,7.480428306074208,6.839476438228843,0,0,0,0,0,1,0,0,0,0,0,0,0
1,23,1,0,1,1,936,11233,10,0,9360,0,0,0,936,0,10,23,10,0,529,100,0.7649202325815845,9.326611153641569,6.841615476477592,0,0,0,0,0,0,1,0,0,0,0,0,0
1,29,1,0,0,1,4398,0,10,0,43980,0,0,0,4398,0,10,29,10,0,841,100,0.7684982022903364,-inf,8.388905171114706,0,0,0,0,0,0,1,0,0,0,0,0,0
1,18,1,0,0,0,0,2321,12,1,0,0,1,0,0,0,0,18,12,0,324,144,0.7597790079157395,7.749753406274437,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,38,0,0,0,0,0,4941,12,1,0,0,0,0,0,0,0,0,0,0,1444,144,0.7715246626395021,8.50532301884575,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,27,1,0,0,0,0,0,13,1,0,0,1,0,0,0,0,27,13,0,729,169,0.7675064085921748,-inf,-inf,0,0,0,0,0,0,0,0,0,1,0,0,0
1,27,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,27,8,0,729,64,0.7675064085921748,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,38,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,38,11,0,1444,121,0.7715246626395021,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,23,0,1,0,1,0,3881,8,1,0,1,0,0,0,1,8,0,0,1,529,64,0.7649202325815845,8.263848131368906,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,26,1,0,0,1,0,17230,11,1,0,0,1,0,0,1,11,26,11,0,676,121,0.7669447053037863,9.754407329521975,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,42,1,0,1,1,3058,1294,9,0,27522,0,0,0,3058,0,9,42,9,0,1764,81,0.7724043373709714,7.165493475060845,8.025516386489008,0,0,0,0,0,1,0,0,0,0,0,0,0
1,21,0,0,0,0,0,8048,12,1,0,0,0,0,0,0,0,0,0,0,441,144,0.7631981010781591,8.99317889233952,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,25,1,0,0,1,0,0,8,1,0,0,1,0,0,1,8,25,8,0,625,64,0.7663313979847909,-inf,-inf,0,0,0,0,1,0,0,0,0,0,0,0,0
1,31,1,0,1,1,0,14509,11,1,0,0,1,1,0,1,11,31,11,0,961,121,0.7693452271015038,9.582524425515684,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,17,1,0,0,1,0,0,10,1,0,0,1,0,0,1,10,17,10,0,289,100,0.7583290653802051,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,19,1,0,0,1,2657,9970,8,0,21256,0,0,0,2657,0,8,19,8,0,361,64,0.7610559845010243,9.207335862955883,7.884952945759814,0,0,0,0,1,0,0,0,0,0,0,0,0
1,29,1,0,0,0,679,17814,14,0,9506,0,0,0,0,0,0,29,14,0,841,196,0.7684982022903364,9.787739943991815,6.520621127558696,0,0,0,0,0,0,0,0,0,0,1,0,0
1,25,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,25,11,0,625,121,0.7663313979847909,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,21,1,0,0,0,0,9983,12,1,0,0,1,0,0,0,0,21,12,0,441,144,0.7631981010781591,9.208638925336425,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,44,1,0,0,1,0,0,11,1,0,0,1,0,0,1,11,44,11,0,1936,121,0.7727762920688575,-inf,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,19,1,0,0,1,385,8124,10,0,3850,0,0,0,385,0,10,19,10,0,361,100,0.7610559845010243,9.002577922700276,5.953243334287785,0,0,0,0,0,0,1,0,0,0,0,0,0
1,25,0,0,0,0,0,5587,12,1,0,0,0,0,0,0,0,0,0,0,625,144,0.7663313979847909,8.628197749459149,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,18,1,0,0,1,798,9737,10,0,7980,0,0,0,798,0,10,18,10,0,324,100,0.7597790079157395,9.183688340978756,6.682108597449809,0,0,0,0,0,0,1,0,0,0,0,0,0
1,18,1,0,0,1,0,4482,9,1,0,0,1,0,0,1,9,18,9,0,324,81,0.7597790079157395,8.407824654360873,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,19,1,0,0,1,798,17685,9,0,7182,0,0,0,798,0,9,19,9,0,361,81,0.7610559845010243,9.780472101639582,6.682108597449809,0,0,0,0,0,1,0,0,0,0,0,0,0
1,18,1,0,0,1,3287,5010,9,0,29583,0,0,0,3287,0,9,18,9,0,324,81,0.7597790079157395,8.51919119407891,8.097730573664219,0,0,0,0,0,1,0,0,0,0,0,0,0
1,26,1,0,1,1,1392,1460,11,0,15312,0,0,0,1392,0,11,26,11,0,676,121,0.7669447053037863,7.286191714702382,7.238496840894365,0,0,0,0,0,0,0,1,0,0,0,0,0
1,42,1,0,0,0,0,2456,12,1,0,0,1,0,0,0,0,42,12,0,1764,144,0.7724043373709714,7.806289289267033,-inf,0,0,0,0,0,0,0,0,1,0,0,0,0
1,25,1,0,0,1,0,0,10,1,0,0,1,0,0,1,10,25,10,0,625,100,0.7663313979847909,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,31,0,1,0,1,0,26817,9,1,0,1,0,0,0,1,9,0,0,1,961,81,0.7693452271015038,10.196791293755963,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
1,24,1,0,0,1,0,0,10,1,0,0,1,0,0,1,10,24,10,0,576,100,0.7656593846532138,-inf,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,26,1,0,0,1,0,9265,10,1,0,0,1,0,0,1,10,26,10,0,676,100,0.7669447053037863,9.13399913871946,-inf,0,0,0,0,0,0,1,0,0,0,0,0,0
1,20,1,0,0,0,377,1652,12,0,4524,0,0,0,0,0,0,20,12,0,400,144,0.7621881881912876,7.409741954080923,5.932245187448011,0,0,0,0,0,0,0,0,1,0,0,0,0
1,19,0,0,0,1,5324,13829,10,0,53240,0,0,0,5324,0,10,0,0,0,361,100,0.7610559845010243,9.534523115464658,8.579980179515003,0,0,0,0,0,0,1,0,0,0,0,0,0
1,25,1,0,0,1,0,485,11,1,0,0,1,0,0,1,11,25,11,0,625,121,0.7663313979847909,6.184148890937483,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,23,0,0,1,1,1713,4232,8,0,13704,0,0,0,1713,0,8,0,0,0,529,64,0.7649202325815845,8.350429973538136,7.44600149832412,0,0,0,0,1,0,0,0,0,0,0,0,0
1,31,0,0,0,0,2611,2484,12,0,31332,0,0,0,0,0,0,0,0,0,961,144,0.7693452271015038,7.81762544305337,7.8674885686991285,0,0,0,0,0,0,0,0,1,0,0,0,0
1,18,1,0,0,1,0,4814,11,1,0,0,1,0,0,1,11,18,11,0,324,121,0.7597790079157395,8.479283618343016,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,19,1,0,0,1,0,7458,11,1,0,0,1,0,0,1,11,19,11,0,361,121,0.7610559845010243,8.917042560738766,-inf,0,0,0,0,0,0,0,1,0,0,0,0,0
1,43,1,0,0,1,0,0,9,1,0,0,1,0,0,1,9,43,9,0,1849,81,0.7725952537136701,-inf,-inf,0,0,0,0,0,1,0,0,0,0,0,0,0
